event_timestamp,total_vendas,valor_total,qtd_vendas,valor_medio,vendas_por_tipo
2024-03-01 16:00:00,1,38.7,1,38.7,"[{'coffee_name': 'Hot Chocolate', 'qtd_vendas': 1, 'valor_total_tipo': 38.7}]"
2024-03-01 18:00:00,1,33.8,1,33.8,"[{'coffee_name': 'Americano with Milk', 'qtd_vendas': 1, 'valor_total_tipo': 33.8}]"
